Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Pete Crow-Armstrong","CHC",82,354,17,50,45,18,0.093220338,0.259887005,0.232258065,0.349753694,0.283870967,0.365439093,0.516129032,0.38094064356251195,0.3644459464333274,145.2889525353579,2.3896572263911366,21.43228268712455,14.402109384536743,4.805192915597952,"Pete Crow-Armstrong",27769,691718
"Bobby Witt Jr.","KCR",77,341,10,41,32,28,0.105571847,0.170087976,0.168874172,0.330508474,0.291390728,0.366568914,0.4602649,0.3599624596756591,0.38960770157364394,126.35609990256586,4.776976028457284,15.40810859072138,14.838657855987549,4.310236403440411,"Bobby Witt Jr.",25764,677951
"Dillon Dingler","DET",75,313,19,42,58,0,0.073482428,0.214057507,0.271428572,0.285714285,0.267857142,0.334405144,0.539285714,0.3742441694069522,0.39593905847049454,138.86538388820003,-0.16667413152754307,14.223011587897718,11.996501922607422,3.7993684418807856,"Dillon Dingler",27464,693307
"Yordan Alvarez","HOU",83,361,25,57,56,1,0.15235457,0.171745152,0.304347826,0.322429906,0.31438127,0.426592797,0.618729096,0.4362563609049238,0.4777962504953578,182.00186354309238,-2.608907336369157,32.407769928209525,-9.717930912971497,3.614326447628134,"Yordan Alvarez",19556,670541
"Corbin Carroll","ARI",78,333,13,48,42,9,0.108108108,0.213213213,0.261168385,0.33014354,0.281786941,0.366366366,0.542955326,0.38855744557208327,0.3629551631648366,147.6849876749572,4.52868797024712,23.389361407824904,1.3473455905914307,3.607931743383446,"Corbin Carroll",25878,682998
"Otto Lopez","MIA",81,344,6,51,35,16,0.046511627,0.139534883,0.141065831,0.374074074,0.335423197,0.369186046,0.476489028,0.3675107685632484,0.3377660338641607,133.02671297399692,3.740086996462196,17.23453368835271,4.9972968101501465,3.3893523383447834,"Otto Lopez",19608,672640
"Kevin McGonigle","DET",79,348,6,49,28,11,0.14367816,0.132183908,0.141891892,0.319672131,0.283783783,0.390804597,0.425675675,0.3653075736144493,0.3671926229075671,132.76797907980534,4.82898437557742,18.317771818563287,2.0382163524627686,3.3299556070317418,"Kevin McGonigle",33572,805808
"Nick Kurtz","ATH",81,371,19,58,64,7,0.196765498,0.30458221,0.25,0.390243902,0.280405405,0.42587601,0.530405405,0.4104531127444947,0.39389786231550816,161.0028876759966,-0.8080811100080609,25.963148113112933,-6.951456248760223,3.2765710199376463,"Nick Kurtz",35110,701762
"JJ Wetherholt","STL",75,342,12,49,34,8,0.102339181,0.157894736,0.149659864,0.278260869,0.258503401,0.356725146,0.408163265,0.3405822829288595,0.35110709080002783,118.22179900252043,2.2659011390060186,9.667893715237252,10.864524364471436,3.210003165242802,"JJ Wetherholt",34985,802139
"Luis Arraez","SFG",76,337,3,40,30,6,0.056379821,0.038575667,0.125827815,0.320819112,0.321192052,0.359516616,0.447019867,0.34733860830708246,0.30391223256180927,123.05832303401961,2.1658095633611083,11.39553766441488,7.831133723258972,3.060833827098487,"Luis Arraez",18568,650333
"Byron Buxton","MIN",71,320,25,56,43,7,0.06875,0.25,0.31292517,0.294736842,0.275510204,0.33125,0.588435374,0.38997766534362843,0.3560101739291487,149.09330438539234,0.3858637362718582,18.968881945942428,-0.8967427015304565,2.99634587564121,"Byron Buxton",14161,621439
"Max Muncy","LAD",76,285,16,47,34,1,0.122807017,0.242105263,0.238866397,0.302469135,0.263157894,0.361403508,0.502024291,0.3753438967634255,0.3759813980317452,140.2014916827095,-0.08017494482919574,13.528577542035457,6.074050545692444,2.9284017833656675,"Max Muncy",13301,571970
"Shohei Ohtani","LAD",78,344,17,56,46,6,0.156976744,0.229651162,0.250896057,0.347593582,0.29390681,0.412280701,0.544802867,0.40533248851965137,0.41952146966773346,160.57856031034487,0.787067654542625,25.538975403371552,-7.885802268981934,2.923823581700246,"Shohei Ohtani",19755,660271
"Brice Turang","MIL",75,341,11,58,47,13,0.143695014,0.263929618,0.191637631,0.340425531,0.261324041,0.366863905,0.452961672,0.3579024923381521,0.34976899659669436,128.5958784004161,1.8169901226647198,13.399138063508618,3.696488857269287,2.8572902370745035,"Brice Turang",22186,668930
"James Wood","WSN",83,386,20,70,49,13,0.158031088,0.303108808,0.250783699,0.342391304,0.260188087,0.383419689,0.510971786,0.38270033225811345,0.4166042418947903,144.71053766106175,1.9267124887555838,22.425514672436513,-7.191845655441284,2.8156620824241307,"James Wood",29518,695578
"Cody Bellinger","NYY",80,344,11,46,49,10,0.136627906,0.13372093,0.188356164,0.275,0.26369863,0.360465116,0.452054794,0.3557576301485993,0.3678500938974867,127.63058252161868,0.41957875806838274,11.662844951166834,2.7578372955322266,2.7120053828262027,"Cody Bellinger",15998,641355
"Yandy Díaz","TBR",76,334,12,43,52,1,0.098802395,0.131736526,0.182758621,0.360169491,0.334482758,0.416167664,0.517241379,0.4047674108635296,0.3709831705853983,159.0600438776709,-0.3598513356409967,22.973882602890146,-8.20987606048584,2.7106972348995964,"Yandy Diaz",16578,650490
"Miguel Vargas","CHW",79,343,18,54,50,10,0.134110787,0.172011661,0.238754325,0.247663551,0.24567474,0.356725146,0.484429065,0.3662066957817749,0.3962533389820772,133.3750220606479,0.7922836220823228,14.333562768350797,-0.3644576966762543,2.66247037023492,"Miguel Vargas",20178,678246
"Matt Olson","ATL",80,349,20,53,52,2,0.097421203,0.229226361,0.257234726,0.303738317,0.273311897,0.343839541,0.530546623,0.37336554118466997,0.36374728252432936,137.8760505209277,-0.1523339105769992,15.548452349917419,-1.0430006980895996,2.620192603680802,"Matt Olson",14344,621566
"CJ Abrams","WSN",80,337,17,51,57,13,0.089020771,0.207715133,0.238095238,0.314285714,0.282312925,0.364985163,0.520408163,0.3809720014458272,0.3453062594293834,143.5361472175391,0.9162266352213919,18.342767186001698,-3.6632328033447266,2.598509860070688,"CJ Abrams",25768,682928
"Kyle Schwarber","PHI",78,347,29,52,52,1,0.144092219,0.337175792,0.33447099,0.31292517,0.255972696,0.371757925,0.590443686,0.4080978819104128,0.3892490320038377,160.33565345229576,-1.3579872748814523,23.50966481482314,-9.230373620986938,2.5906343188230583,"Kyle Schwarber",16478,656941
"Brandon Lowe","PIT",76,336,19,50,52,0,0.098214285,0.25297619,0.262626263,0.274111675,0.245791245,0.321428571,0.508417508,0.35554000912677675,0.3465108615248951,124.34957036430816,-0.149341628421098,9.568322118943373,5.014543831348419,2.585399364730293,"Brandon Lowe",18882,664040
"Colson Montgomery","CHW",77,320,20,37,46,1,0.09375,0.315625,0.263345196,0.2625,0.220640569,0.315625,0.483985765,0.34436478994622216,0.32813938685825894,118.47237403242113,-1.7061240822076797,5.286121954554672,8.44628643989563,2.555109647180627,"Colson Montgomery",29712,695657
"Ceddanne Rafaela","BOS",76,303,7,33,35,10,0.04950495,0.201320132,0.160142348,0.338028169,0.28113879,0.331125827,0.441281138,0.33861069292422163,0.2870157809560514,110.6089320797319,0.788403581827879,4.5908080090169054,9.649768590927124,2.545211154517998,"Ceddanne Rafaela",24262,678882
"Freddie Freeman","LAD",79,345,13,45,43,2,0.12173913,0.168115942,0.205387205,0.31441048,0.286195286,0.376811594,0.491582491,0.3776249221937601,0.3838556866313136,141.75143481152148,-0.2934910892508924,16.81539706703792,-2.977313995361328,2.5392113553579816,"Freddie Freeman",5361,518692
"Bryan Reynolds","PIT",82,353,11,54,52,5,0.147308781,0.212464589,0.19047619,0.352380952,0.289115646,0.402266288,0.479591836,0.38654263185979293,0.37423693012987447,145.41566697206915,0.4293984230607748,19.471360211360007,-5.937254071235657,2.5345598267532887,"Bryan Reynolds",19326,668804
"Ben Rice","NYY",76,326,22,56,53,2,0.122699386,0.233128834,0.30141844,0.306451612,0.280141843,0.371165644,0.581560283,0.4034380599072105,0.3797154160019774,160.16275566974042,-0.5401704772375524,22.65990136792731,-9.522720098495483,2.5163198463457412,"Ben Rice",29576,700250
"Andy Pages","LAD",81,347,15,46,58,8,0.069164265,0.198847262,0.206349207,0.292372881,0.266666666,0.319884726,0.473015873,0.3420530102438473,0.3385609783425455,117.58053352639892,-0.5602127355523407,6.685695218880214,6.759198784828186,2.505798120003643,"Andy Pages",24816,681624
"Willson Contreras","BOS",78,325,17,39,48,1,0.092307692,0.258461538,0.244604317,0.338888888,0.280575539,0.375384615,0.525179856,0.38903040981587067,0.37468378292107435,145.01011026336963,-1.040066780988127,16.263572270604172,-3.6122725009918213,2.4632969882138647,"Willson Contreras",11609,575929
"Elly De La Cruz","CIN",61,270,12,41,38,10,0.088888888,0.292592592,0.219008265,0.352941176,0.272727272,0.34074074,0.491735537,0.36028631572370173,0.36144655401056464,124.57479654733767,0.967089721467346,8.848156048179675,6.387031316757202,2.4351202308350235,"Elly De La Cruz",26668,682829
"Mike Trout","LAA",74,335,17,54,36,7,0.197014925,0.247761194,0.237735849,0.272727272,0.233962264,0.39402985,0.471698113,0.3760803412953648,0.4127563946063702,139.1911644936072,0.17765395948663354,15.707851662091123,-3.8188791275024414,2.4220035824841206,"Mike Trout",10155,545361
"Junior Caminero","TBR",79,346,20,50,46,0,0.132947976,0.176300578,0.241610738,0.296803652,0.285234899,0.378612716,0.526845637,0.3866214559358709,0.37041795821416945,146.679128885226,-1.5268917200155556,17.577923913646593,-6.7489272356033325,2.3540686760634193,"Junior Caminero",28163,691406
"Juan Soto","NYM",63,268,17,36,38,6,0.141791044,0.130597014,0.263157894,0.282485875,0.293859649,0.393258426,0.557017543,0.40294663979175904,0.4206748579459761,161.75233879724712,-0.7055110344663262,18.951591001318647,-4.794089317321777,2.3189842777294616,"Juan Soto",20123,665742
"Xavier Edwards","MIA",82,342,6,44,28,11,0.11988304,0.125730994,0.131313132,0.322709163,0.292929292,0.375366568,0.424242424,0.35031158669412316,0.3292851902189709,121.33997182472017,1.293650739826262,9.96229608059166,1.6591299176216125,2.3039901718526963,"Xavier Edwards",22266,669364
"José Ramírez","CLE",72,314,10,42,33,24,0.130573248,0.140127388,0.179104477,0.248847926,0.23880597,0.338658146,0.417910447,0.3288500686357548,0.35462797581178745,109.32796063626353,4.362518539186567,7.8271764660236105,3.589262366294861,2.2979074865424898,"Jose Ramirez",13510,608070
